school_id,name,careers_link,platform,verdict,n_links,note
1,Alaska Pacific University,https://www.alaskapacific.edu/about/employment/#openings,own website,ok,3,
2,University of Alaska Anchorage,https://careers.alaska.edu/jobs/search/faculty-jobs?page=1&cities%5B%5D=Anchorage&query=,own website,ok,26,rendered
3,University of Alaska Fairbanks,https://careers.alaska.edu/jobs/search/faculty-jobs?page=1&cities%5B%5D=Fairbanks&query=,own website,ok,23,rendered
4,Athens State University,https://www.athens.edu/about/offices/human-resources/employment-opportunities/,own website,ok,23,
5,Auburn University,https://jobs.auburn.edu/auburn-careers-home/jobs?tags2=Faculty&page=1,own website,ok,8,
7,Samford University,https://www.samford.edu/employee/faculty-employment-opportunities/default,own website,ok,7,
11,University of North Alabama,https://www.schooljobs.com/careers/una?jobType[0]=Faculty&sort=PositionTitle%7CAscending,own website,ok,14,
13,University of Alabama in Huntsville,https://www.uah.edu/hr/careers/faculty-careers,own website,ok,4,
14,Jacksonville State University,https://careers.jsu.edu/jobs/search?page=1&category_uids%5B%5D=6221c7f16b88a1e8462b2d492ce7977f&query=,own website,ok,27,rendered
15,University of West Alabama,https://www.uwa.edu/employment/,own website,review,2,rendered few job-shaped links
18,University of South Alabama,https://www.southalabama.edu/departments/academicaffairs/facultyposition.html,own website,ok,23,
19,University of Montevallo,https://jobs.montevallo.edu/postings/search?utf8=%E2%9C%93&query=&query_v0_posted_at_date=&query_organizational_tier_3_id%5B%5D=any&440=&query_position_type_id%5B%5D=2&commit=Search,own website,ok,16,
21,Amridge University,http://www.amridgeuniversity.edu/about/employment/,own website,review,2,rendered few job-shaped links
22,Auburn University at Montgomery,https://jobs.aum.edu/aum-careers-home/jobs?tags2=Faculty,own website,ok,11,
28,Troy University,https://www.troyuniversityjobs.com/postings/search?utf8=%E2%9C%93&query=&query_v0_posted_at_date=&3481%5B%5D=3&225=&435=&commit=Search,own website,ok,66,
30,The University of Alabama,https://careers.ua.edu/faculty,own website,ok,8,rendered
32,Henderson State University,https://phe.tbe.taleo.net/phe02/ats/careers/v2/jobSearch?act=redirectCwsV2&cws=48&org=ARKASTAT2,taleo,ok,5,taleo
34,Lyon College,http://www.lyon.edu/employment,own website,ok,8,
35,University of the Ozarks,https://ozarks.edu/about/employment/,own website,ok,3,
37,Hendrix College,https://www.hendrix.edu/humanresources/jobs.aspx,own website,review,0,rendered no job-shaped links found
38,University of Central Arkansas,https://jobs.uca.edu/postings/search?utf8=%E2%9C%93&query=&query_v0_posted_at_date=&435=&225=&query_position_type_id%5B%5D=1&commit=Search,own website,ok,21,
39,University of Arkansas,https://uasys.wd5.myworkdayjobs.com/UAF_External_Career_Site?jobFamilyGroup=eaddfab9343f0113688d32d525e70000,workday,ok,29,workday
40,University of Arkansas-Fort Smith,https://uasys.wd5.myworkdayjobs.com/UASYS?locations=764b2d014314010f624ed3006e08cec1,workday,ok,20,workday
41,Arkansas State University,https://phe.tbe.taleo.net/phe02/ats/careers/v2/searchResults?org=ARKASTAT2&cws=56&act=sort&sortColumn=1&sortOrder=A,taleo,ok,26,taleo
42,University of Arkansas Grantham,https://uasys.wd5.myworkdayjobs.com/UASYS?q=grantham,workday,ok,758,workday
46,University of Arkansas at Little Rock,https://uasys.wd5.myworkdayjobs.com/UASYS?hiringCompany=720b21cbdf2401e26b5b1759c4019006&locations=17a66cdad982014d322b8c49ca003c4a&timeType=8676082fcc89011e20fa6c2e71495700,workday,ok,43,workday
47,Southern Arkansas University Main Campus,https://www.saumag.edu/human-resources/category/employment-opportunities/faculty-positions/,own website,ok,5,
54,Northern Arizona University,https://careers.nau.edu/jobs/search?page=1&category_uids%5B%5D=16877518cdbd46262a1b4a995c2a65c2&query=,own website,ok,3,rendered
61,Embry-Riddle Aeronautical University-Prescott,https://embryriddle.wd1.myworkdayjobs.com/External?workerSubType=ac0092a9a0de01b90ceaa516fb097e1d,workday,ok,25,workday
62,Arizona State University Digital Immersion,https://facultypositions.asu.edu/#/api/Home/_InterfolioPostings,own website,review,2,rendered few job-shaped links [shared URL]
