school_id,atom_entries
860,859
877,859
272,729
806,399
1275,382
1220,334
28,225
837,184
1429,181
760,173
1384,151
740,138
1318,133
1319,133
1029,131
451,124
1430,120
657,118
779,107
1023,102
1418,97
19,93
793,92
778,85
411,81
376,80
814,71
1062,65
654,62
1266,62
927,61
1118,59
1181,58
156,52
804,51
386,49
1271,45
1022,40
614,39
380,38
1111,36
1480,24
501,21
1564,21
1214,16
38,14
1572,13
764,12
1215,12
1524,11
988,10
529,8
996,8
992,2
1510,1
