posting_url,first_seen
http://academics.lafayette.edu/our-faculty/,2026-09-09
http://au.dk/phd-positions-all,2026-09-09
http://careers.cccu.org/c-faculty-careers-biology-life-sciences-jobs.html,2026-09-09
http://careers.cccu.org/c-faculty-careers-communication-design-media-jobs.html,2026-09-09
http://careers.cccu.org/c-faculty-careers-engineering-jobs.html,2026-09-09
http://careers.cccu.org/c-faculty-careers-health-professions-jobs.html,2026-09-09
http://careers.cccu.org/c-faculty-careers-psychology-jobs.html,2026-09-09
http://careers.cccu.org/c-faculty-careers-religion-jobs.html,2026-09-09
http://careers.cccu.org/c-higher-ed-administrative-careers-development-fundraising-jobs.html,2026-09-09
http://careers.cccu.org/c-higher-ed-administrative-careers-other-jobs.html,2026-09-09
http://careers.pageuppeople.com/865/cw/en-us/job/503963/director-corporate-and-foundations-relations,2026-09-09
http://careers.pageuppeople.com/865/cw/en-us/job/503979/business-assistance-specialist,2026-09-09
http://careers.pageuppeople.com/865/cw/en-us/job/503980/program-director-business-assistance-service-centers,2026-09-09
http://careers.pageuppeople.com/865/cw/en-us/job/503982/financial-aid-coordinator-student-and-office-support,2026-09-09
http://careers.pageuppeople.com/865/cw/en-us/job/503983/assistant-coach-mens-womens-cross-country-and-track-field,2026-09-09
http://careers.pageuppeople.com/865/cw/en-us/job/503995/associate-director-reunion-and-affinity-giving,2026-09-09
http://careers.pageuppeople.com/865/cw/en-us/job/503997/language-specialist,2026-09-09
http://careers.pageuppeople.com/865/cw/en-us/job/504002/coordinator,2026-09-09
http://careers.pageuppeople.com/865/cw/en-us/job/504003/maintenance-technician,2026-09-09
http://careers.pageuppeople.com/865/cw/en-us/job/504006/human-resources-assistant,2026-09-09
http://careers.pageuppeople.com/865/cw/en-us/job/504009/postdoctoral-research-associate-in-the-center-for-advancing-community-electrification-solutions-aces,2026-09-09
http://careers.pageuppeople.com/865/cw/en-us/job/504014/coordinator-pride-center,2026-09-09
http://careers.pageuppeople.com/865/cw/en-us/job/504015/assistant-director-fraternity-and-sorority-life,2026-09-09
http://careers.pageuppeople.com/865/cw/en-us/job/504019/research-and-finance-coordinator,2026-09-09
http://careers.pageuppeople.com/865/cw/en-us/job/504020/postdoctoral-research-associate-in-computational-fusion-plasma-physics-turbulence-fastion-transport-and-aienabled-modeling,2026-09-09
http://careers.pageuppeople.com/865/cw/en-us/job/504023/postdoctoral-research-associate-in-control-systems-artificial-intelligence-and-scientific-machine-learning-for-fusion-energy,2026-09-09
http://careers.pageuppeople.com/865/cw/en-us/job/504024/web-marketing-coordinator,2026-09-09
http://careers.swarthmore.edu/cw/en-us/job/495939/survivor-services-specialist,2026-09-09
http://careers.swarthmore.edu/cw/en-us/job/495943/assistant-vice-president-for-human-resources,2026-09-09
http://careers.swarthmore.edu/cw/en-us/job/495954/postdoctoral-researcher,2026-09-09
http://careers.swarthmore.edu/cw/en-us/job/495966/utility-associate-parttime,2026-09-09
http://careers.uah.edu/cw/en-us/listing/,2026-09-09
