school_id,name,status,count,seconds,error
4,Athens State University,complete,24,15.8,
7,Samford University,complete,18,14.2,
13,University of Alabama in Huntsville,complete,15,10.0,
15,University of West Alabama,complete,26,2.8,
19,University of Montevallo,complete,93,59.2,
28,Troy University,complete,225,122.0,
34,Lyon College,complete,21,9.9,
35,University of the Ozarks,complete,9,2.5,
47,Southern Arkansas University Main Campus,complete,9,8.9,
62,Arizona State University Digital Immersion,complete,11,1.7,
63,Arizona State University Campus Immersion,complete,11,1.6,
69,Menlo College,complete,9,3.1,
73,Notre Dame de Namur University,complete,12,7.7,
74,University of California-Berkeley,complete,174,58.1,
80,Harvey Mudd College,complete,17,16.9,
82,Pomona College,complete,14,6.3,
83,Scripps College,complete,7,3.5,
85,University of California-Davis,complete,179,58.8,
93,University of California-Irvine,complete,288,82.2,
95,University of California-San Diego,complete,211,256.7,
102,Mount Saint Mary's University,complete,7,9.9,
103,Occidental College,complete,8,2.8,
105,University of California-Los Angeles,complete,191,56.6,
108,University of California-Merced,complete,114,34.5,
109,Saint Mary's College of California,complete,8,5.9,
115,California Institute of Technology,complete,94,14.0,
121,University of California-Riverside,complete,73,22.5,
124,University of the West,complete,2,1.6,
129,National University,complete,50,36.9,
138,Golden Gate University,complete,19,18.3,
145,Dominican University of California,complete,7,6.7,
146,University of California-Santa Barbara,complete,61,16.7,
147,Westmont College,complete,2,0.4,
148,Santa Clara University,complete,52,160.1,
150,University of California-Santa Cruz,complete,99,30.6,
156,California Lutheran University,complete,52,32.3,
159,Whittier College,complete,5,1.6,
173,Colorado Mesa University,complete,12,4.6,
179,University of Bridgeport,complete,28,27.9,
180,Western Connecticut State University,complete,11,9.8,
182,Sacred Heart University,complete,27,74.6,
183,University of Connecticut-Avery Point,complete,55,115.2,
187,Central Connecticut State University,complete,9,10.1,
188,Charter Oak State College,complete,3,2.1,
200,University of New Haven,complete,9,11.6,
202,American University,complete,12,40.6,
215,Goldey-Beacom College,complete,2,1.9,
217,Ave Maria University,complete,14,6.8,
218,Webber International University,complete,22,8.9,
235,Jacksonville University,complete,15,9.5,
241,Beacon College,complete,5,3.1,
244,Albizu University-Miami,complete,2,1.3,
248,Polytechnic University of Puerto Rico-Miami,complete,6,5.1,
253,Polytechnic University of Puerto Rico-Orlando,complete,13,6.3,
272,University of Georgia,complete,729,509.0,
282,Augusta University,complete,14,64.1,
291,Agnes Scott College,complete,4,1.7,
293,Piedmont University,complete,3,0.9,
296,Brenau University,complete,20,9.2,
298,LaGrange College,complete,5,1.8,
303,Wesleyan College,complete,3,2.0,
306,Clayton  State University,complete,7,5.2,
313,Thomas University,complete,12,12.3,
320,University of Guam,complete,32,22.9,
322,Chaminade University of Honolulu,complete,20,10.1,
331,Coe College,complete,7,9.1,
340,Maharishi International University,complete,6,14.2,
344,Simpson College,complete,1,3.0,
346,Graceland University-Lamoni,error,0,30.2,"RuntimeError: oracle session capture failed: Timeout 15000ms exceeded while waiting for event ""request""
=========================== logs ===========================
waiting for request **/recruitingCEJobRequisitions**
============================================================"
348,Cornell College,complete,7,14.7,
349,Northwestern College,complete,13,8.5,
354,Morningside University,complete,4,3.5,
359,Lewis-Clark State College,complete,15,6.3,
372,Columbia College Chicago,complete,18,7.9,
373,DePaul University,error,0,30.2,"RuntimeError: oracle session capture failed: Timeout 15000ms exceeded while waiting for event ""request""
=========================== logs ===========================
waiting for request **/recruitingCEJobRequisitions**
============================================================"
376,Loyola University Chicago,complete,80,55.8,
386,Northern Illinois University,complete,49,35.3,
396,Lake Forest College,complete,124,53.8,
405,Bradley University,complete,12,7.9,
409,Augustana College,complete,6,2.3,
410,Rockford University,complete,6,1.8,
411,Lewis University,complete,81,44.6,
418,Indiana University-Bloomington,complete,17,6.4,
422,Indiana Institute of Technology,complete,14,14.3,
427,Goshen College,complete,2,2.4,
428,DePauw University,complete,3,1.2,
430,Huntington University,complete,13,6.2,
433,Indiana University-Indianapolis,complete,10,3.7,
440,Ball State University,complete,45,13.7,
442,Manchester University,complete,7,9.7,
449,Saint Mary-of-the-Woods College,complete,6,3.1,
451,Indiana State University,complete,124,80.9,
460,Emporia State University,complete,4,2.2,
463,Tabor College,complete,9,6.7,
465,University of Saint Mary,complete,19,9.0,
466,Bethany College,complete,3,2.0,
473,Ottawa University-Ottawa,complete,51,49.9,
474,Ottawa University-Kansas City,complete,51,50.5,
477,Sterling College,complete,8,11.1,
482,Southwestern College,complete,3,1.6,
483,Union College,complete,6,2.6,
488,Thomas More University,complete,11,6.7,
494,Transylvania University,complete,12,14.4,
498,University of Louisville,complete,2,2.4,
499,Midway University,complete,6,5.9,
505,Alice Lloyd College,complete,3,2.1,
507,University of the Cumberlands,complete,28,24.0,
515,McNeese State University,complete,1,0.5,
529,Nicholls State University,complete,8,4.9,
531,Hampshire College,complete,1,0.7,
554,Fitchburg State University,complete,2,7.4,
555,Framingham State University,complete,12,10.5,
557,Bay Path University,complete,23,21.4,
573,Western New England University,complete,56,51.7,
577,Wellesley College,complete,50,57.5,
580,Regis College,complete,6,17.3,
584,College of the Holy Cross,complete,53,15.6,
593,Notre Dame of Maryland University,complete,20,9.4,
602,Capitol Technology University,complete,3,3.2,
611,University of Maine at Augusta,complete,5,7.1,
615,Maine Maritime Academy,complete,7,8.3,
618,Bates College,complete,10,8.3,
620,University of Southern Maine,complete,2,0.8,
622,Saint Joseph's College of Maine,complete,11,6.2,
636,Wayne State University,complete,159,467.8,
640,Aquinas College,complete,10,5.8,
651,Madonna University,complete,4,2.4,
655,The University of Olivet,complete,13,6.6,
657,Oakland University,complete,118,78.6,
658,Rochester University,complete,6,3.5,
660,Lawrence Technological University,complete,18,27.1,
662,Walsh College,complete,1,1.3,
663,Saginaw Valley State University,complete,69,39.6,
671,The College of Saint Scholastica,complete,6,6.1,
703,Culver-Stockton College,complete,7,8.5,
708,Central Methodist University-College of Liberal Arts and Sciences,complete,8,3.5,
710,William Woods University,complete,4,2.8,
713,Missouri Southern State University,complete,2,0.8,
715,Calvary University,complete,6,3.7,
721,Missouri Valley College,complete,7,2.7,
725,College of the Ozarks,complete,13,6.4,
731,Maryville University of Saint Louis,complete,6,14.8,
735,Washington University in St Louis,complete,676,586.2,
739,Mission University,complete,3,1.4,
740,Missouri State University-Springfield,complete,138,89.2,
748,William Carey University,complete,12,11.6,
760,Montana State University,complete,173,122.1,
764,Montana State University-Northern,complete,12,7.1,
767,University of North Carolina Asheville,complete,23,15.8,
778,University of North Carolina at Charlotte,complete,85,60.2,
779,Western Carolina University,complete,107,74.4,
787,Methodist University,complete,5,1.9,
793,University of North Carolina at Greensboro,complete,92,65.4,
