school_id,name,status,count,seconds,error
138,Golden Gate University,complete,19,9.7,
145,Dominican University of California,complete,7,6.1,
179,University of Bridgeport,complete,28,11.3,
215,Goldey-Beacom College,complete,2,6.1,
346,Graceland University-Lamoni,error,0,30.2,"RuntimeError: oracle session capture failed: Timeout 15000ms exceeded while waiting for event ""request""
=========================== logs ===========================
waiting for request **/recruitingCEJobRequisitions**
============================================================"
369,University of Illinois Urbana-Champaign,error,0,10.5,RuntimeError: FETCH_FAILURE: Page.content: Unable to retrieve content because the page is navigating and changing the content.
373,DePaul University,error,0,30.4,"RuntimeError: oracle session capture failed: Timeout 15000ms exceeded while waiting for event ""request""
=========================== logs ===========================
waiting for request **/recruitingCEJobRequisitions**
============================================================"
391,Northwestern University,error,0,3.9,RuntimeError: FETCH_FAILURE: Page.content: Unable to retrieve content because the page is navigating and changing the content.
422,Indiana Institute of Technology,complete,14,10.0,
473,Ottawa University-Ottawa,complete,51,19.5,
474,Ottawa University-Kansas City,complete,51,19.8,
499,Midway University,complete,6,6.7,
553,Stonehill College,error,0,0.2,"RuntimeError: FETCH_FAILURE: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://jobs.stonehill.edu/hr/sessions/new
Call log:
  - navigating to ""https://jobs.stonehill.edu/hr/sessions/new"", waiting until ""domcontentloaded""
"
557,Bay Path University,complete,23,11.7,
573,Western New England University,complete,56,19.7,
616,University of Maine at Farmington,error,0,0.1,"RuntimeError: FETCH_FAILURE: Page.goto: Protocol error (Page.navigate): Cannot navigate to invalid URL
Call log:
  - navigating to ""#VALUE!"", waiting until ""domcontentloaded""
"
662,Walsh College,complete,1,7.1,
748,William Carey University,complete,12,9.5,
868,Saint Peter's University,complete,39,13.9,
895,New Mexico Highlands University,complete,72,24.7,
955,Iona University,complete,39,14.8,
969,Metropolitan College of New York,complete,5,6.1,
1045,Wright State University-Main Campus,error,0,0.1,"RuntimeError: FETCH_FAILURE: Page.goto: Protocol error (Page.navigate): Cannot navigate to invalid URL
Call log:
  - navigating to ""#VALUE!"", waiting until ""domcontentloaded""
"
1095,Bacone College,error,0,0.3,"RuntimeError: FETCH_FAILURE: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.bacone.edu/job-openings/
Call log:
  - navigating to ""https://www.bacone.edu/job-openings/"", waiting until ""domcontentloaded""
"
1125,Cedar Crest College,complete,18,9.1,
1138,Wilson College,complete,10,6.8,
1191,Peirce College,error,0,0.1,"RuntimeError: FETCH_FAILURE: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www3.peirce.edu/about-peirce/additional-resources/careers-at-peirce
Call log:
  - navigating to ""https://www3.peirce.edu/about-peirce/additional-resources/careers-at-peirce"", waiting until ""domcontentloaded""
"
1323,The University of Tennessee-Chattanooga,error,0,30.4,"RuntimeError: oracle session capture failed: Timeout 15000ms exceeded while waiting for event ""request""
=========================== logs ===========================
waiting for request **/recruitingCEJobRequisitions**
============================================================"
1332,Lincoln Memorial University,error,0,1.2,RuntimeError: peopleadmin atom status=404
1463,Emory & Henry University,complete,19,9.9,
1533,Ottawa University-Milwaukee,complete,51,19.8,
1577,Alderson Broaddus University,error,0,0.1,"RuntimeError: FETCH_FAILURE: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://ab.edu/employment/
Call log:
  - navigating to ""https://ab.edu/employment/"", waiting until ""domcontentloaded""
"
