school_id,posting_url,position_type,job_term,department_or_school,area_key_words,deadline_of_application,position_start_date
1763,https://edzz.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_6001/job/9938,Research_Fellow,Full-time,Department of Pharmacy,nanomaterials; mitochondrial nucleic acid delivery,2026-09-23,
1763,https://edzz.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_6001/job/9913,Research_Fellow,Full-time,School of Metallurgy and Materials,superalloys; materials science; nuclear/aerospace materials,2026-09-22,
1763,https://edzz.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_6001/job/9919,Research_Fellow,Full-time,Department of Applied Health Sciences,maternal health; cardiometabolic risk; mixed methods research,2026-09-16,
1763,https://edzz.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_6001/job/9918,Research_Fellow,Full-time,Department of Applied Health Sciences,maternal health; cardiometabolic risk; mixed methods research,2026-09-16,
1763,https://edzz.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_6001/job/9923,Research_Fellow,Full-time,Department of Immunology and Immunotherapy,immunology; immunotherapy,2026-09-15,
1763,https://edzz.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_6001/job/9910,Assistant_Professor,Full-time,School of Mechanical Engineering,robotics; artificial intelligence,2026-09-21,
1763,https://edzz.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_6001/job/9920,Research_Fellow,Full-time,Department of Immunology and Immunotherapy,immunology; immunotherapy; research bids,2026-09-07,
1763,https://edzz.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_6001/job/9922,Research_Fellow,Full-time,Department of Immunology and Immunotherapy,immunology; type 1 diabetes; murine models,2026-09-14,
1763,https://edzz.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_6001/job/9842,Research_Fellow,Full-time,School of Engineering,bladder cancer; diagnostics; photonics,2026-09-17,
1763,https://edzz.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_6001/job/9869,Research_Fellow,Full-time,College of Arts and Law,sign language; sociolinguistics; language evolution,2026-09-10,
1763,https://edzz.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_6001/job/9889,Research_Fellow,Full-time,School of Chemistry,materials chemistry; electromagnetic attenuation,2026-09-17,
1763,https://edzz.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_6001/job/9786,Research_Fellow,Full-time,School of Psychology,psychology; Horizon Trace project,2026-09-07,
1763,https://edzz.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_6001/job/9878,Research_Fellow,Full-time,School of Chemistry,chemistry,2026-09-02,
1763,https://edzz.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_6001/job/9771,Assistant_Professor; Associate_Professor,Full-time,School of Engineering,structural engineering,2026-10-12,
1763,https://edzz.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_6001/job/9853,Assistant_Professor,Full-time,Birmingham Business School,finance; business education,2026-09-14,
1763,https://edzz.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_6001/job/9886,Full_Professor,Full-time,School of Mathematics,statistics; data science,2026-09-20,
1763,https://edzz.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_6001/job/9803,Research_Fellow,Full-time,School of Chemistry,chemical biology; nucleic acids,2026-09-13,
1763,https://edzz.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_6001/job/9814,Non-academic,Full-time,College of Medicine and Health,biomedical imaging; microscopy; technical support,2026-10-04,
1763,https://edzz.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_6001/job/9833,Research_Fellow,Full-time,Department of Cardiovascular Sciences,cardiovascular immunology; atherosclerosis,2026-09-13,
1763,https://edzz.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_6001/job/9824,Non-academic,Full-time,Department of Cancer and Genomic Sciences,research technical support,2026-09-10,
1763,https://edzz.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_6001/job/9863,Associate_Professor,Full-time,Department of Pharmacy,clinical pharmacy; pharmacy education,2026-09-15,
1763,https://edzz.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_6001/job/9823,Lecturer,Full-time,School of Psychology,psychology; teaching,2026-09-13,
1763,https://edzz.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_6001/job/9792,Research_Fellow,Full-time,Applied Health Sciences,breast cancer; health inequalities; qualitative research,2026-09-14,
1763,https://edzz.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_6001/job/9796,Assistant_Professor,Full-time,Department of Biomedical Sciences,anatomy; medical education,2026-09-07,
1763,https://edzz.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_6001/job/9813,Research_Fellow,Full-time,Department of Immunology and Immunotherapy,immunology; type 1 diabetes; NAMPT inhibitors,2026-09-07,
1763,https://edzz.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_6001/job/9791,Research_Fellow,Full-time,"School of Sport, Exercise and Rehabilitation Sciences",neuroscience; spinal cord injury; neuromodulation,2026-09-06,
1763,https://edzz.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_6001/job/9800,Lecturer,Full-time,School of Psychology,psychology; teaching,2026-09-06,
