school_id,posting_url,job_title_in_post,position_type,job_term,department_or_school,area_key_words,deadline_of_application,position_start_date
1811,https://www.deakin.edu.au/student-life-and-services/support-services/career-planning,Page not found,Unclassified,Full-time,,indigenous; page; start,,
1811,https://www.deakin.edu.au/student-life-and-services/support-for-high-school-students/career-practitioners,Career practitioners,Non-academic,Full-time,,future student; student engagement; senior officer future,,
1811,https://www.deakin.edu.au/about-deakin/work-at-deakin/job-vacancies,Careers,Unclassified,Full-time,,indigenous; start; internal,,
1811,https://www.deakin.edu.au/about-deakin/work-at-deakin/careers,Page not found,Unclassified,Full-time,,indigenous; page; start,,
1811,http://careers.pageuppeople.com/949/cw/en/subscribe,Careers,Unclassified,Part-time,,select; health service; keywords,,
1811,https://careers.pageuppeople.com/949/cw/en/listing/,Careers,Non-academic,Part-time,Faculty of Business and Law,student success; marketing; cyber security,,
1811,https://careers.pageuppeople.com/949/cw/en/job/578796/engineer-google-cloud,Careers,Non-academic,Full-time,,cloud; google; engineer,,
1811,https://careers.pageuppeople.com/949/cw/en/job/588831/senior-adviser-student-success-progress,Careers,Non-academic,Full-time,,student success; academic progress; senior adviser student,,
1811,https://careers.pageuppeople.com/949/cw/en/job/588832/officer-student-success-outcomes,Careers,Non-academic,Full-time,,student success; officer student; manage competing priorities,,
1811,https://careers.pageuppeople.com/949/cw/en/job/588829/digital-content-writer,Careers,Non-academic,Full-time,,digital content; content writer; marketing,,
1811,https://careers.pageuppeople.com/949/cw/en/job/588095/senior-officer-student-success-outcomes,Careers,Non-academic,Full-time,,student success; senior officer student; success outcomes,,
1811,https://careers.pageuppeople.com/949/cw/en/job/588287/counsellor,Careers,Non-academic,Part-time,,mental health; counsellor; short-term,,
1811,https://careers.pageuppeople.com/949/cw/en/job/588849/senior-manager-individual-and-community-giving,Careers,Non-academic,Full-time,,donor; fundraising; community giving,,
1811,https://careers.pageuppeople.com/949/cw/en/job/588575/communications-lead,Careers,Non-academic,Full-time,,communications; complex issues; high-profile,,
1811,https://careers.pageuppeople.com/949/cw/en/job/588323/senior-integration-developer,Careers,Non-academic,Full-time,,integration; join forces; developer,,
1811,https://careers.pageuppeople.com/949/cw/en/job/588883/director-cyber-security-operations,Careers,Non-academic,Full-time,,cyber; security; operations,,
1811,https://careers.pageuppeople.com/949/cw/en/job/588669/adviser-safer-community,Careers,Non-academic,Full-time,,safer; adviser; waurn ponds,,
1811,https://careers.pageuppeople.com/949/cw/en/job/588667/senior-coordinator-student-outcomes-resourcing,Careers,Non-academic,Full-time,,student outcomes; resourcing; senior coordinator,,
1811,https://careers.pageuppeople.com/949/cw/en/job/588668/coordinator-international-program-operations,Careers,Non-academic,Full-time,,coordinator international program; international program operations; quality assurance,,
1811,https://careers.pageuppeople.com/949/cw/en/job/588306/principal-commercial-finance,Careers,Unclassified,Full-time,,commercial; finance; principal,,
1811,https://careers.pageuppeople.com/949/cw/en/job/588325/marketing-manager-faculty-marketing,Careers,Non-academic,Full-time,Faculty of Business and Law,marketing; student recruitment; sebe,,
1811,https://careers.pageuppeople.com/949/cw/en/job/588756/coordinator-contract-governance,Careers,Non-academic,Full-time,,contract; compliance; melbourne burwood warrnambool,,
1811,https://careers.pageuppeople.com/949/cw/en/job/588031/research-assistant-gift,Careers,Non-academic,Part-time,,gift; india; research assistant,,
1811,https://careers.pageuppeople.com/949/cw/en/job/588291/senior-manager-research-platforms,Careers,Non-academic,Full-time,,research platforms; senior manager research; technology,,
1811,https://careers.pageuppeople.com/949/cw/en/job/588391/performance-analyst-pricing-costing,Careers,Non-academic,Full-time,,costing; financial; pricing,,
1811,https://careers.pageuppeople.com/949/cw/en/job/588074/head-of-school-psychology,Careers,Non-academic,Part-time,Faculty of Business and Law,student success; marketing; cyber security,,
1811,https://www.deakin.edu.au/about-deakin/work-at-deakin,Careers,Unclassified,Full-time,,indigenous; start; internal,,
