school_id,name,status,tier,platform,count,error,timestamp
1587,University of Alberta,ok,1,oracle,20,,2026-09-02T19:46:58Z
1589,University of Lethbridge,ok,1,peopleadmin,26,,2026-09-02T19:47:00Z
1590,University of the Fraser Valley,ok,3,generic(playwright),2,,2026-09-02T19:47:06Z
1592,Thompson Rivers University,ok,3,generic(requests),143,,2026-09-02T19:47:26Z
1594,University of Northern British Columbia,ok,3,generic(playwright),2,,2026-09-02T19:47:33Z
1595,University Canada West,ok,1,adp,0,,2026-09-02T19:47:35Z
1596,University of British Columbia,ok,1,workday,43,,2026-09-02T19:47:39Z
1597,Royal Roads University,ok,3,generic(requests),2,,2026-09-02T19:47:45Z
1602,University of Winnipeg,ok,3,generic(playwright),1,,2026-09-02T19:47:51Z
1612,Dalhousie University,ok,1,peopleadmin,32,,2026-09-02T19:47:54Z
1623,Ontario Tech University,ok,1,cornerstone,7,,2026-09-02T19:47:58Z
1625,University of Ottawa,ok,1,workday,315,,2026-09-02T19:48:22Z
1628,Brock University,ok,1,workday,27,,2026-09-02T19:48:24Z
1631,OCAD University,ok,3,generic(requests),10,,2026-09-02T19:48:30Z
1637,University of Windsor,ok,1,oracle,2,,2026-09-02T19:48:36Z
1641,McGill University,ok,1,workday,205,,2026-09-02T19:48:54Z
1646,École des Hautes Études Commerciales (HEC Montréal),ok,3,generic(requests),3,,2026-09-02T19:48:56Z
1656,University of Saskatchewan,ok,1,cornerstone,63,,2026-09-02T19:49:08Z
1669,Technical University of Denmark,ok,1,oracle,149,,2026-09-02T19:49:20Z
1671,Hanken School of Economics,ok,3,generic(requests),1,,2026-09-02T19:49:23Z
1675,INSEAD,ok,1,oracle,0,,2026-09-02T19:49:29Z
1678,HEC Paris,ok,1,cornerstone,56,,2026-09-02T19:49:41Z
1694,Athens University of Economics and Business,ok,0,apella,4,,2026-09-02T19:49:49Z
1695,National Technical University of Athens,ok,0,apella,0,,2026-09-02T19:49:51Z
1696,National and Kapodistrian University of Athens,ok,0,apella,24,,2026-09-02T19:50:01Z
1697,Aristotle University of Thessaloniki,ok,0,apella,37,,2026-09-02T19:50:05Z
1722,Tilburg University,ok,3,generic(playwright),10,,2026-09-02T19:50:28Z
1728,AGH University of Krakow,ok,0,poland_nauka,6,,2026-09-02T19:50:36Z
1729,Jagiellonian University,ok,0,poland_nauka,22,,2026-09-02T19:50:50Z
1730,University of Warsaw,ok,0,poland_nauka,29,,2026-09-02T19:51:03Z
1731,Warsaw School of Economics,ok,0,poland_nauka,7,,2026-09-02T19:51:08Z
1744,IE University,ok,1,icims,0,,2026-09-02T19:51:13Z
1754,University of Lausanne,ok,3,generic(playwright),5,,2026-09-02T19:51:28Z
1760,Boğaziçi University,ok,1,academicjobsonline,2,,2026-09-02T19:51:30Z
1763,University of Birmingham,ok,1,oracle,33,,2026-09-02T19:51:37Z
1788,Macquarie University,ok,1,workday,22,,2026-09-02T19:51:40Z
1790,University of Sydney,ok,1,workday,80,,2026-09-02T19:51:46Z
1798,University of Queensland,ok,1,workday,70,,2026-09-02T19:51:53Z
1805,Flinders University,ok,1,workday,39,,2026-09-02T19:51:56Z
1806,Torrens University Australia,ok,1,workday,7,,2026-09-02T19:51:59Z
1811,Deakin University,ok,3,generic(requests),20,,2026-09-02T19:52:02Z
1813,Monash University,ok,3,generic(requests),71,,2026-09-02T19:52:14Z
1814,RMIT University,ok,1,workday,51,,2026-09-02T19:52:19Z
1816,University of Melbourne,ok,1,workday,42,,2026-09-02T19:52:23Z
1817,Victoria University,ok,1,oracle,6,,2026-09-02T19:52:32Z
1821,Murdoch University,ok,1,workday,17,,2026-09-02T19:52:35Z
1824,University of Auckland,ok,1,smartrecruiters,56,,2026-09-02T19:52:37Z
1826,University of Otago,ok,3,generic(requests),1,,2026-09-02T19:52:39Z
1827,University of Waikato,ok,1,oracle,7,,2026-09-02T19:52:47Z
1830,Victoria University of Wellington,ok,1,oracle,10,,2026-09-02T19:52:56Z
1834,Hong Kong Baptist University,ok,1,oracle,152,,2026-09-02T19:53:18Z
1836,Hong Kong Metropolitan University,ok,3,generic(requests),1,,2026-09-02T19:53:21Z
1839,Lingnan University,ok,1,cornerstone,100,,2026-09-02T19:53:32Z
1842,The Chinese University of Hong Kong,ok,3,generic(requests),1,,2026-09-02T19:53:35Z
1858,Nanyang Technological University,ok,1,workday,778,,2026-09-02T19:54:33Z
1863,Nanyang Polytechnic,ok,1,workday,34,,2026-09-02T19:54:39Z
1865,Republic Polytechnic,ok,1,workday,58,,2026-09-02T19:54:46Z
1892,University of Southern Denmark,ok,1,oracle,1,,2026-09-02T19:54:54Z
1893,University of Vaasa,ok,3,generic(requests),2,,2026-09-02T19:54:57Z
1896,Kwantlen Polytechnic University,ok,3,generic(requests),2,,2026-09-02T19:55:00Z
1763,University of Birmingham,ok,1,oracle,33,,2026-09-02T20:02:30Z
1763,University of Birmingham,ok,1,oracle,33,,2026-09-02T20:03:18Z
1763,University of Birmingham,ok,1,oracle,33,,2026-09-02T20:08:22Z
