school_id,job_title,job_title_original,department,department_original,location,position_type,post_date,posting_url,source_tier,source_platform,language,scraped_at,description
1763,Research Fellow,Research Fellow,Department of Pharmacy,Department of Pharmacy,United Kingdom,,2026-09-01,https://edzz.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_6001/job/9938,1,oracle,en,2026-09-02T20:08:22Z,"The post-holder will contribute to an ARIA funded research project developing innovative nanomaterial-based technologies for mitochondrial nucleic acid delivery. Working within their area of specialism, the post-holder will contribute to the design, development and evaluation of advanced nanomaterial-based delivery systems and to the wider objectives of the research programme.

Posting closes: 2026-09-23"
1763,Research Fellow (BCC-Superalloys),Research Fellow (BCC-Superalloys),School of Metallurgy and Materials,School of Metallurgy and Materials,United Kingdom,,2026-08-31,https://edzz.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_6001/job/9913,1,oracle,en,2026-09-02T20:08:22Z,"The University of Birmingham is seeking a Research Fellow to create and contribute to the creation of knowledge by undertaking a range of activities within the Materials for Extremes research group.

The Materials for Extremes research group seeks to discover fundamentally new alloys for extreme environments across nuclear fusion/fission reactors, aerospace gas turbines and concentrated solar power. This involves: (1) Alloy Design, supported by computation methods; (2) Production through arc melting, powder metallurgy or additive manufacturing; (3) Characterisation using advanced electron microscopy (SEM, EBSD, TEM), APT and x-ray diffraction methods; (4) Mechanical Testing and failure investigation, including macro-, micro- & in-situ testing, (5) Irradiation damage studies, using University of Birmingham’s proton/neutron facilities.

Posting closes: 2026-09-22"
1763,Research Fellow I,Research Fellow I,Department of Applied Health Sciences,Department of Applied Health Sciences,United Kingdom,,2026-08-31,https://edzz.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_6001/job/9919,1,oracle,en,2026-09-02T20:08:22Z,"Applications are invited for an ambitious Mixed Methods Research Fellow to work at the University of Birmingham across a nationally-leading research programme funded by the National Institute for Health and Care Research (NIHR) as part of the NIHR Maternity Disparities Consortium (MDC).
The postholder will work within the pregnancy, birth and early postnatal maternal health theme (Theme 2), including research programmes in cardiometabolic risk prevention and management, and specifically, remote blood pressure monitoring in pregnancy and the postnatal period. 
The researcher will support the MDC in delivering impactful research and knowledge mobilisation activities with partners across the health and care system. You will be expected to support the development and delivery of components of the theme’s research programme initially until the 31st of May 2028.


Posting closes: 2026-09-16"
1763,Research Fellow II,Research Fellow II,Department of Applied Health Sciences,Department of Applied Health Sciences,United Kingdom,,2026-08-31,https://edzz.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_6001/job/9918,1,oracle,en,2026-09-02T20:08:22Z,"Applications are invited for an ambitious Mixed Methods Research Fellow to work at the University of Birmingham across a nationally-leading research programme funded by the National Institute for Health and Care Research (NIHR) as part of the NIHR Maternity Disparities Consortium (MDC).

The postholder will work within the pregnancy, birth and early postnatal maternal health theme (Theme 2), including research programmes in cardiometabolic risk prevention and management, and specifically, remote blood pressure monitoring in pregnancy and the postnapostnatal period. 
The researcher will support the MDC in delivering impactful research and knowledge mobilisation activities with partners across the health and care system. You will be expected to support the development and delivery of components of the theme’s research programme initially until the 31st of May 2028.

Posting closes: 2026-09-16"
1763,Research Fellow,Research Fellow,Department of Immunology and Immunotherapy,Department of Immunology and Immunotherapy,United Kingdom,,2026-08-31,https://edzz.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_6001/job/9923,1,oracle,en,2026-09-02T20:08:22Z,"To create and contribute to the creation of knowledge by undertaking a specified range of activities within an established research programme and/or specific research project. The role includes working within specified research grants and projects and contribute to writing bids and analysing and interpreting research findings and results.  

Posting closes: 2026-09-15"
1763,Assistant Professor in Robotics and Artificial Intelligence (Research and Education),Assistant Professor in Robotics and Artificial Intelligence (Research and Education),School of Mechanical Engineering,School of Mechanical Engineering,United Kingdom,Tenure-Track,2026-08-30,https://edzz.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_6001/job/9910,1,oracle,en,2026-09-02T20:08:22Z,"The successful candidate will be expected to create and disseminate knowledge through initiating and conducting original research, and publication in the above-mentioned areas. They will develop and deliver undergraduate, postgraduate and CPD programmes relevant to Robotics and Artificial Intelligence. In addition, they will contribute to the department, and wider school, through management/leadership and enterprise activities, as appropriate. 

Posting closes: 2026-09-21"
1763,Research Fellow,Research Fellow,Department of Immunology and Immunotherapy,Department of Immunology and Immunotherapy,United Kingdom,,2026-08-30,https://edzz.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_6001/job/9920,1,oracle,en,2026-09-02T20:08:22Z,"To create and contribute to the creation of knowledge by undertaking a specified range of   activities within an established research programme and/or specific research project. The role includes developing research objectives and proposals for own or joint research, with assistance of a mentor if required and contributing to writing bids for research funding.


Posting closes: 2026-09-07"
1763,Research Associate,Research Associate,Department of Immunology and Immunotherapy,Department of Immunology and Immunotherapy,United Kingdom,,2026-08-30,https://edzz.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_6001/job/9922,1,oracle,en,2026-09-02T20:08:22Z,"To assist in research (by carrying out data collection or analyses) to create knowledge through providing research support for projects and research groups. The candidate will work within an internationally renowned type 1 diabetes immunology group and will manage and maintain murine breeding colonies and lead in performing murine immunology studies.

Posting closes: 2026-09-14"
1763,Research Fellow,Research Fellow,School of Engineering,School of Engineering,United Kingdom,,2026-08-26,https://edzz.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_6001/job/9842,1,oracle,en,2026-09-02T20:08:22Z,"The research fellow will lead the design, statistical optimisation and validation of assays for clinically relevant bladder cancer targets. Their central objective will be to develop an algorithmic workflow to detect new target sequences, achieving rapid detection at femtomolar concentrations whilst maintaining robust separation between true-positive and negative reactions. The post-holder will work closely with research fellow will work across the School of Medicine, School of Chemistry, and School of engineering to integrate the statistically optimised assay into a photonics diagnostic workflow.

Posting closes: 2026-09-17"
1763,Research Fellow,Research Fellow,College of Arts and Law,College of Arts and Law,United Kingdom,,2026-08-26,https://edzz.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_6001/job/9869,1,oracle,en,2026-09-02T20:08:22Z,"The Department of Linguistics and Communication seeks to appoint a Research Fellow to work on the British Academy funded project ‘Language evolution and sociolinguistic variation in signing communities’ (or ‘EvoSLang’) led by Dr. Rose Stamp and Prof. Adam Schembri. EvoSLang combines sociolinguistic and language evolution approaches to understand the factors affect lexical competition; why do some variants “win” out in language evolution and others disappear out of usage? In this project, we compare variation across three sign languages of different ages and sociolinguistic profiles: British Sign Language (BSL), Israeli Sign Language (ISL) and Kufr Qassem Sign Language (KQSL). 

Posting closes: 2026-09-10"
