school_id,job_title,job_title_original,department,department_original,location,position_type,post_date,posting_url,source_tier,source_platform,language,scraped_at
1805,Social Media Lead,Social Media Lead,,,Bedford Park / Kaurna Country   |   Higher Education Officer Level 7   |   Closes 16 Sept 2026,,,https://flinders.wd3.myworkdayjobs.com/job/Bedford-Park--Kaurna-Country/Social-Media-Lead_JR0000017441,1,workday,en,2026-09-02T19:51:56Z
1805,Artificial Intelligence Specialist,Artificial Intelligence Specialist,,,Bedford Park / Kaurna Country   |   Higher Education Officer Level 7   |   Closes 15 Sept 2026,,,https://flinders.wd3.myworkdayjobs.com/job/Bedford-Park--Kaurna-Country/Artificial-Intelligence-Specialist_JR0000017427,1,workday,en,2026-09-02T19:51:56Z
1805,Higher Degree Research Engagement and Partnerships Manager,Higher Degree Research Engagement and Partnerships Manager,,,Bedford Park / Kaurna Country   |   Higher Education Officer Level 8   |   Closes 27 Sept 2026,,,https://flinders.wd3.myworkdayjobs.com/job/Bedford-Park--Kaurna-Country/Higher-Degree-Research-Engagement-and-Partnerships-Manager_JR0000017437,1,workday,en,2026-09-02T19:51:56Z
1805,Student Conduct Investigator,Student Conduct Investigator,,,Bedford Park / Kaurna Country   |   Higher Education Officer Level 8   |   Closes 15 Sept 2026,,,https://flinders.wd3.myworkdayjobs.com/job/Bedford-Park--Kaurna-Country/Student-Conduct-Investigator_JR0000017433,1,workday,en,2026-09-02T19:51:56Z
1805,Associate Professor in Rural Health,Associate Professor in Rural Health,,,"Flinders Rural Health SA, Renmark / On the Traditional Lands of the First Peoples of the River Murray & Mallee Region   |   Academic Level D   |   Closes 29 Sept 2026",Tenure-Track,,https://flinders.wd3.myworkdayjobs.com/job/Flinders-Rural-Health-SA-Renmark--On-the-Traditional-Lands-of-the-First-Peoples-of-the-River-Murray--Mallee-Region/Associate-Professor-in-Rural-Health_JR0000017425,1,workday,en,2026-09-02T19:51:56Z
1805,Information Security Specialist,Information Security Specialist,,,Bedford Park / Kaurna Country   |   Higher Education Officer Level 7   |   Closes 16 Sept 2026,,,https://flinders.wd3.myworkdayjobs.com/job/Bedford-Park--Kaurna-Country/Information-Security-Specialist_JR0000017422,1,workday,en,2026-09-02T19:51:56Z
1805,Rural Student Services Officer,Rural Student Services Officer,,,"Flinders Rural Health SA, Murray Bridge / Ngarrindjeri Country   |   Higher Education Officer Level 5   |   Closes 13 Sept 2026",,,https://flinders.wd3.myworkdayjobs.com/job/Flinders-Rural-Health-SA-Murray-Bridge--Ngarrindjeri-Country/Rural-Student-Services-Officer_JR0000017407,1,workday,en,2026-09-02T19:51:56Z
1805,Engagement and Communications Officer,Engagement and Communications Officer,,,Tonsley   |   Higher Education Officer Level 6   |   Closes 13 Sept 2026,,,https://flinders.wd3.myworkdayjobs.com/job/Tonsley/Engagement-and-Communications-Officer_JR0000017389,1,workday,en,2026-09-02T19:51:56Z
1805,"Operational Support Officer, Rural and Remote Health","Operational Support Officer, Rural and Remote Health",,,"Charles Darwin University, Darwin / Larrakia Country   |   Higher Education Officer Level 5   |   Closes 09 Sept 2026",,,https://flinders.wd3.myworkdayjobs.com/job/Charles-Darwin-University-Darwin--Larrakia-Country/Operational-Support-Officer--Rural-and-Remote-Health_JR0000017372,1,workday,en,2026-09-02T19:51:56Z
1805,Marketing & Communications Partner (Advancement),Marketing & Communications Partner (Advancement),,,Bedford Park / Kaurna Country   |   Higher Education Officer Level 7   |   Closes 09 Sept 2026,,,https://flinders.wd3.myworkdayjobs.com/job/Bedford-Park--Kaurna-Country/Marketing---Communications-Partner--Advancement-_JR0000016718,1,workday,en,2026-09-02T19:51:56Z
1805,Research Associate in Hydrogeology / Hydrology,Research Associate in Hydrogeology / Hydrology,,,Bedford Park / Kaurna Country   |   Research Associate Level A   |   Closes 23 Sept 2026,,,https://flinders.wd3.myworkdayjobs.com/job/Bedford-Park--Kaurna-Country/Research-Associate-in-Hydrogeology---Hydrology_JR0000017368-1,1,workday,en,2026-09-02T19:51:56Z
