school_id,name,country,base_url,careers_link,ats_platform,confidence,notes,scraper_status
1,Alaska Pacific University,US,https://www.alaskapacific.edu/,https://www.alaskapacific.edu/about/employment/#openings,own website,medium,OK:2,generic scraper
2,University of Alaska Anchorage,US,https://www.uaa.alaska.edu/,https://careers.alaska.edu/jobs/search/faculty-jobs?page=1&cities%5B%5D=Anchorage&query=,own website,medium,OK:4,generic scraper
3,University of Alaska Fairbanks,US,https://www.uaf.edu/,https://careers.alaska.edu/jobs/search/faculty-jobs?page=1&cities%5B%5D=Fairbanks&query=,own website,medium,OK:4,generic scraper
4,Athens State University,US,https://www.athens.edu/,https://www.athens.edu/about/offices/human-resources/employment-opportunities/,own website,medium,OK:4,generic scraper
5,Auburn University,US,https://www.auburn.edu/,https://jobs.auburn.edu/auburn-careers-home/jobs?tags2=Faculty&page=1,own website,medium,OK:4,generic scraper
7,Samford University,US,https://www.samford.edu/,https://www.samford.edu/employee/faculty-employment-opportunities/default,own website,medium,OK:3,generic scraper
11,University of North Alabama,US,https://www.una.edu/,https://www.schooljobs.com/careers/una?jobType[0]=Faculty&sort=PositionTitle%7CAscending,own website,medium,OK:4,generic scraper
13,University of Alabama in Huntsville,US,https://www.uah.edu/,https://www.uah.edu/hr/careers/faculty-careers,own website,medium,OK:3,generic scraper
14,Jacksonville State University,US,https://www.jsu.edu/,https://careers.jsu.edu/jobs/search?page=1&category_uids%5B%5D=6221c7f16b88a1e8462b2d492ce7977f&query=,own website,medium,OK:4,generic scraper
15,University of West Alabama,US,https://www.uwa.edu/,https://www.uwa.edu/employment/,own website,medium,OK-2hop:OK:2,generic scraper
18,University of South Alabama,US,https://www.southalabama.edu/,https://www.southalabama.edu/departments/academicaffairs/facultyposition.html,own website,high,OK-2hop:OK:8,generic scraper
19,University of Montevallo,US,https://www.montevallo.edu/,https://jobs.montevallo.edu/postings/search?utf8=%E2%9C%93&query=&query_v0_posted_at_date=&query_organizational_tier_3_id%5B%5D=any&440=&query_position_type_id%5B%5D=2&commit=Search,own website,medium,OK:3,generic scraper
21,Amridge University,US,https://www.amridgeuniversity.edu/,http://www.amridgeuniversity.edu/about/employment/,own website,medium,OK:2,generic scraper
22,Auburn University at Montgomery,US,https://www.aum.edu/,https://jobs.aum.edu/aum-careers-home/jobs?tags2=Faculty,own website,medium,OK-2hop:OK:16,generic scraper
28,Troy University,US,https://www.troy.edu/,https://www.troyuniversityjobs.com/postings/search?utf8=%E2%9C%93&query=&query_v0_posted_at_date=&3481%5B%5D=3&225=&435=&commit=Search,own website,high,OK:7,generic scraper
30,The University of Alabama,US,https://www.ua.edu/,https://careers.ua.edu/faculty,own website,medium,OK-2hop:OK:16,generic scraper
32,Henderson State University,US,https://www.hsu.edu/,https://phe.tbe.taleo.net/phe02/ats/careers/v2/jobSearch?act=redirectCwsV2&cws=48&org=ARKASTAT2,Taleo,high,OK-2hop:OK:13,generic scraper (verified working)
34,Lyon College,US,https://www.lyon.edu/,http://www.lyon.edu/employment,own website,medium,OK-2hop:OK:5,generic scraper
35,University of the Ozarks,US,https://ozarks.edu/,https://ozarks.edu/about/employment/,own website,medium,OK-2hop:OK:2,generic scraper
37,Hendrix College,US,https://www.hendrix.edu/,https://www.hendrix.edu/humanresources/jobs.aspx,own website,high,OK-2hop:OK:6,generic scraper
38,University of Central Arkansas,US,https://www.uca.edu/,https://jobs.uca.edu/postings/search?utf8=%E2%9C%93&query=&query_v0_posted_at_date=&435=&225=&query_position_type_id%5B%5D=1&commit=Search,own website,medium,OK-2hop:OK:5,generic scraper
39,University of Arkansas,US,https://www.uark.edu/,https://uasys.wd5.myworkdayjobs.com/UAF_External_Career_Site?jobFamilyGroup=eaddfab9343f0113688d32d525e70000,Workday,high,OK-2hop:OK:6,adapter built
40,University of Arkansas-Fort Smith,US,https://uafs.edu/,https://uasys.wd5.myworkdayjobs.com/UASYS?locations=764b2d014314010f624ed3006e08cec1,Workday,high,OK:8,adapter built
41,Arkansas State University,US,https://www.astate.edu/,https://phe.tbe.taleo.net/phe02/ats/careers/v2/searchResults?org=ARKASTAT2&cws=56&act=sort&sortColumn=1&sortOrder=A,Taleo,high,OK-2hop:OK:10,generic scraper (verified working)
42,University of Arkansas Grantham,US,https://www.uagrantham.edu/,https://uasys.wd5.myworkdayjobs.com/UASYS?q=grantham,Workday,high,OK-2hop:OK:9,adapter built
46,University of Arkansas at Little Rock,US,https://ualr.edu/www/,https://uasys.wd5.myworkdayjobs.com/UASYS?hiringCompany=720b21cbdf2401e26b5b1759c4019006&locations=17a66cdad982014d322b8c49ca003c4a&timeType=8676082fcc89011e20fa6c2e71495700,Workday,high,OK:8 [playwright],adapter built
47,Southern Arkansas University Main Campus,US,https://www.saumag.edu/,https://www.saumag.edu/human-resources/category/employment-opportunities/faculty-positions/,own website,medium,OK-2hop:OK:13,generic scraper
54,Northern Arizona University,US,https://nau.edu/,https://careers.nau.edu/jobs/search?page=1&category_uids%5B%5D=16877518cdbd46262a1b4a995c2a65c2&query=,own website,medium,OK-2hop:OK:2,generic scraper
61,Embry-Riddle Aeronautical University-Prescott,US,https://prescott.erau.edu/,https://embryriddle.wd1.myworkdayjobs.com/External?workerSubType=ac0092a9a0de01b90ceaa516fb097e1d,Workday,high,OK-2hop:OK:8,adapter built
62,Arizona State University Digital Immersion,US,https://www.asu.edu/,https://facultypositions.asu.edu/#/api/Home/_InterfolioPostings,own website,medium,OK-2hop:OK:4,generic scraper
63,Arizona State University Campus Immersion,US,https://www.asu.edu/,https://facultypositions.asu.edu/#/api/Home/_InterfolioPostings,own website,medium,OK-2hop:OK:4,generic scraper
65,University of Arizona,US,https://www.arizona.edu/,https://arizona.csod.com/ux/ats/careersite/4/home?c=arizona&cfdd[0][id]=227&cfdd[0][options][0]=306,Cornerstone OnDemand,high,OK-2hop:OK:8,adapter built
67,Pacific Union College,US,https://www.puc.edu/,https://www.puc.edu/campus-services/human-resources/faculty-job-postings,own website,medium,OK-2hop:OK:12 [playwright],generic scraper
68,California State Polytechnic University-Humboldt,US,https://www.humboldt.edu/,https://careers.humboldt.edu/hm/en-us/filter/?work-type=faculty,own website,medium,OK-2hop:OK:8,generic scraper
69,Menlo College,US,https://www.menlo.edu/,https://www.menlo.edu/employment-opportunities/,own website,medium,OK-2hop:OK:3,generic scraper
72,California State University-Bakersfield,US,https://www.csub.edu/,https://careers.csub.edu/en-us/filter/?search-keyword=&work-type=instructional%20faculty%20-%20temporary%2flecturer&work-type=instructional%20faculty%20%e2%80%93%20tenured%2ftenure-track&work-type=instructional%20student%20assistant&work-type=non-instructional%20faculty%20(coach%2fcounselor%2flibrarian)&work-type=teaching%20associate&job-mail-subscribe-privacy=agree,own website,medium,OK-2hop:OK:3,generic scraper
73,Notre Dame de Namur University,US,https://www.ndnu.edu/,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=fde135bd-bf6a-4ebd-965f-43a1d08a2241&ccId=19000101_000001&source=CC2&lang=en_US&selectedMenuKey=CurrentOpenings,ADP,high,OK-2hop:OK:7,adapter built
74,University of California-Berkeley,US,https://www.berkeley.edu/,https://aprecruit.berkeley.edu/apply,own website,medium,OK-2hop:OK:5,generic scraper
75,Woodbury University,US,https://woodbury.edu/,https://woodbury.edu/about/people/employment-opportunities/,own website,medium,OK-2hop:OK:5,generic scraper
76,California State University-Channel Islands,US,https://www.csuci.edu/,https://jobs.csuci.edu/en-us/listing/,own website,medium,OK-2hop:OK:2,generic scraper
77,California State University-Dominguez Hills,US,https://www.csudh.edu/,https://careers.csudh.edu/en-us/filter/?ie=utf-8&q=&search-keyword=&work-type=instructional%20faculty%20-%20temporary%2flecturer&work-type=instructional%20faculty%20%e2%80%93%20tenured%2ftenure-track&work-type=non-instructional%20faculty%20(coach%2fcounselor%2flibrarian)&category=unit%203%20-%20cfa%20-%20california%20faculty%20association&category=faculty&job-mail-subscribe-privacy=agree,own website,medium,OK-2hop:OK:4,generic scraper
78,California State University-Chico,US,https://www.csuchico.edu/,https://jobs.csuchico.edu/en-us/filter/?search-keyword=&work-type=instructional%20faculty%20-%20temporary%2flecturer&work-type=instructional%20faculty%20%E2%80%93%20tenured%2ftenure-track&work-type=visiting%20faculty&work-type=non-instructional%20faculty%20(coach/Counselor/librarian)&job-mail-subscribe-privacy=agree&_gl=1*nuuf33*global_ga*Nzc4ODA3ODIwLjE3ODc4NzUwODE.*global_ga_VM2YX7L78G*czE3ODc4NzUwODAkbzEkZzEkdDE3ODc4NzUwOTAkajUwJGwwJGgw,own website,medium,OK-2hop:OK:5,generic scraper
79,Claremont McKenna College,US,https://www.cmc.edu/,https://webapps.cmc.edu/jobs/faculty/faculty_opening.php,own website,high,OK-2hop:OK:9,generic scraper
80,Harvey Mudd College,US,https://www.hmc.edu/,https://www.hmc.edu/dean-of-faculty/available-faculty-positions/,own website,high,OK-2hop:OK:9,generic scraper
81,Pitzer College,US,https://www.pitzer.edu/,https://academicjobsonline.org/ajo/Pitzer%20College/Office%20of%20the%20Dean%20of%20Faculty,AcademicJobsOnline,medium,OK-2hop:OK:18,adapter built
82,Pomona College,US,https://www.pomona.edu/,https://www.pomona.edu/administration/academic-dean/faculty-jobs,own website,medium,OK-2hop:OK:14,generic scraper
83,Scripps College,US,https://www.scrippscollege.edu/,http://www.scrippscollege.edu/hr/faculty,own website,medium,OK-2hop:OK:12,generic scraper
84,Vanguard University of Southern California,US,https://www.vanguard.edu/,https://www.vanguard.edu/resources/human-resources/vu-careers?post_category_id=165,own website,medium,OK-2hop:OK:3,generic scraper
85,University of California-Davis,US,https://ucdavis.edu/,https://recruit.ucdavis.edu/apply?_gl=1*1802h74*_gcl_au*MTUyNDgyMzMzMy4xNzg3ODc1NDE4*_ga*MTE2MzE3NjkzLjE3ODc4NzU0MTg.*_ga_2N9JP0W2PC*czE3ODc4NzU0MTgkbzEkZzAkdDE3ODc4NzU0MjAkajU4JGwwJGgw,own website,not_found,NO_MATCH [playwright],generic scraper
87,California State University-Fresno,US,https://www.fresnostate.edu/,https://careers.fresnostate.edu/en-us/filter/?search-keyword=&job-mail-subscribe-privacy=agree&work-type=instructional%20faculty%20-%20temporary%2flecturer&work-type=instructional%20faculty%20%e2%80%93%20tenured%2ftenure-track&work-type=non-instructional%20faculty%20(coach%2fcounselor%2flibrarian)&work-type=teaching%20associate&location=&category=,own website,medium,OK-2hop:OK:1,generic scraper
88,Fresno Pacific University,US,https://www.fresno.edu/,https://www.schooljobs.com/careers/fresnoedu,own website,medium,OK-2hop:OK:2,generic scraper
89,California State University-Fullerton,US,https://www.fullerton.edu/,https://careers.pageuppeople.com/873/fl/en-us/filter/?search-keyword=&work-type=instructional%20faculty%20%e2%80%93%20tenured%2ftenure-track&job-mail-subscribe-privacy=agree,PageUp,medium,OK-2hop:OK:3,generic scraper (verified working)
91,California State University-East Bay,US,https://www.csueastbay.edu/,https://careers.pageuppeople.com/873/eb/en-us/filter/?job-mail-subscribe-privacy=agree&search-keyword=&work-type=instructional%20faculty%20-%20temporary%2flecturer&work-type=instructional%20faculty%20%e2%80%93%20tenured%2ftenure-track,PageUp,high,OK-2hop:OK:13,generic scraper (verified working)
93,University of California-Irvine,US,https://www.uci.edu/,https://recruit.ap.uci.edu/apply,own website,medium,OK-2hop:OK:7,generic scraper
94,University of Massachusetts Global,US,https://www.umassglobal.edu/,https://umassglobal.wd5.myworkdayjobs.com/UMassGlobalCareers,Workday,high,OK-2hop:OK:6,adapter built
95,University of California-San Diego,US,https://www.ucsd.edu/,https://apol-recruit.ucsd.edu/apply,own website,medium,OK-2hop:OK:4,generic scraper
97,University of La Verne,US,https://www.laverne.edu/,https://laverne.peopleadmin.com/postings/search?utf8=%E2%9C%93&query=&query_v0_posted_at_date=&341=&query_position_type_id%5B%5D=2&343=&commit=Search,PeopleAdmin,medium,OK:4 [playwright],adapter built
98,California State University-Long Beach,US,https://www.csulb.edu/,https://csucareers.calstate.edu/en-us/filter/?=&leftNavSearchFormQuery=&=&search=&search-keyword=&job-mail-subscribe-privacy=agree&work-type=instructional%20faculty%20-%20temporary%2flecturer&work-type=instructional%20faculty%20%e2%80%93%20tenured%2ftenure-track&location=long%20beach&job-mail-subscribe-privacy=agree,own website,medium,OK-2hop:OK:5,generic scraper
100,California State University-Los Angeles,US,https://www.calstatela.edu/,https://csucareers.calstate.edu/en-us/filter/?=&leftNavSearchFormQuery=&=&search=&search-keyword=&job-mail-subscribe-privacy=agree&work-type=instructional%20faculty%20-%20temporary%2flecturer&work-type=instructional%20faculty%20%e2%80%93%20tenured%2ftenure-track&location=los%20angeles&job-mail-subscribe-privacy=agree,own website,not_found,NO_MATCH [playwright],generic scraper
102,Mount Saint Mary's University,US,https://www.msmu.edu/,https://www.msmu.edu/about-the-mount/university-offices/administration--finance/human-resources/employment-opportunities/,own website,medium,OK-2hop:OK:4,generic scraper
103,Occidental College,US,https://www.oxy.edu/,https://www.oxy.edu/working-oxy/faculty-positions,own website,medium,OK-2hop:OK:4,generic scraper
104,Pacific States University,US,https://www.psuca.edu/,https://psuca.edu/jobs-opportunities/,own website,medium,OK:3 [playwright],generic scraper
105,University of California-Los Angeles,US,https://www.ucla.edu/,https://recruit.apo.ucla.edu/apply,own website,medium,OK-2hop:OK:10,generic scraper
106,University of Southern California,US,https://www.usc.edu/,https://usccareers.usc.edu/search-jobs,own website,high,OK-2hop:OK:8,generic scraper
107,Pepperdine University,US,https://www.pepperdine.edu/,https://jobs.pepperdine.edu/jobs/search/temporary-opportunities?page=1&dropdown_field_3_uids%5B%5D=dcaa7a03ab89b8b42952f428d59046b3&query=,own website,medium,OK-2hop:OK:8,generic scraper
108,University of California-Merced,US,https://ucmerced.edu/,https://aprecruit.ucmerced.edu/apply,own website,not_found,playwright_failed:TimeoutError,generic scraper
109,Saint Mary's College of California,US,https://www.stmarys-ca.edu/,https://www.stmarys-ca.edu/offices-services/academic-affairs/faculty-openings,own website,medium,OK-2hop:OK:9,generic scraper
